Sentence,Aspect,Polarity
chắc không nhìn thấy mình là bơ luôn khách_hàng này .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"mấy lần trước thì sốt sền_sệt , lần này ko hiểu sao sốt lỏng le , ăn ko thích bằng nhưng được_cái vị vẫn ngon .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'negative'}]"
"chủ quán thân_thiện , nhiệt_tình .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
à mình còn nhớ lần trước mua ly này thôi mà hôm_nay tới lận .,['DRINKS#PRICES'],[{'DRINKS#PRICES': 'negative'}]
"nhìn_chung thì đồ_ăn của quán khá ổn , mình đã hy_vọng nó thật xuất_sắc nhưng nhà_hàng dừng lại ở mức khá ngon .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
mìh like món trà sữa uyên ươg ở đây lắm .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
cửa_hàng kế bên the coffee house lê_đại hành .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
phục_vụ dễ_thương trẻ_trung năng_động .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"phần thăn ngoại hokubee miếng thịt có gân mỡ bên rìa , dai quá cắt woai k đứt .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
"ai ghiên cà_phê thì thôi khỏi nói luôn , uống là thích liền .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
nước ép dưa_hấu cũng rất thơm và ngon .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"nhân_viên nhanh_nhẹn , lịch_sự .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
nhân_viên ở đây phục_vụ rất nhiệt_tình và vui_vẻ và dễ_thương lắm luôn .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"phục_vụ các bạn nhân_viên thiếu kinh_nghiệm đã được thay_thế bằng các bạn nhân_viên nhiệt_tình , khéo_léo .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
giao sớm hơn giờ mình đặt luôn .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
mình ăn ng hết .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
gọi thêm phần bò quanh lửa hồng nữa là số dzách .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"đồ_ăn ngon , khách hơi vắng hơn so với mấy nhà_hàng khác ở mỹ_tho .","['FOOD#QUALITY', 'RESTAURANT#GENERAL']","[{'FOOD#QUALITY': 'positive'}, {'RESTAURANT#GENERAL': 'neutral'}]"
"cá ba_sa chiên giòn cá mềm , không bị khô nha , cắn ra có hơi bốc khói nhẹ , loại này cũng có sốt riêng chấm luôn .","['FOOD#PRICES', 'FOOD#QUALITY']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
mang_tiếng là fast food mà_lại bắt khách chờ hơn cả p .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"nước_chấm rất ngon luôn , phần làm_nên món lẩu mà .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
mà khách lúc_nào cũng đông nên hơi ồn_ào .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'negative'}]
"spicy kale edamame khó ăn lắm , rau vị nồng qtqd , có mấy loại hạt với thịt xé nhỏ trộn chung .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'negative'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
giá_cả không quá cao so với chất_lượng và mấy nơi khác .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
"cái bạn giả_bộ lơ lơ lại tỏ_vẻ mặt cực_kỳ khó_chịu với mình như mình làm gì bạn đấy , cái bạn còn lại thấy vậy chạy tới gíup .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
nước_lèo ngọt thanh ăn rất vừa_miệng .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
rồi món cuối trước khi ăn tráng_miệng là cơm_chiên với gà quay hay nướng lá é .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
gà có vị cay kích_thích vị_giác .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"mình đã chọn món ' chocolate sữa đá ' , mình thực_sự rất thích chocolate .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"mới_đầu hơi buồn do là thịt bầm chứ k phải thịt lát , tô cũng khá nhỏ .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'negative'}]
"menu phong_phú , đa_dạng , giá_cả phải_chăng .","['FOOD#STYLE&OPTIONS', 'DRINKS#STYLE&OPTIONS', 'RESTAURANT#PRICES']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'positive'}, {'RESTAURANT#PRICES': 'positive'}]"
"lasgana cũng bt , k có sốt cà_chua nên cảm_thấy thiếu vị .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'negative'}, {'FOOD#QUALITY': 'neutral'}]"
hôm nọ có order gongcha trên foody ship về đặt ly olong gongcha trân_châu trắng ly lớn ly earl grey trân trâu đen mà không thấy trân_châu đâu hơi thất_vọng .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'negative'}]
giá hơi cao tý nhưng rất xứng_đáng với chất_lượng .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
uống mát mà cũng ngon .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
ăn khoẻ thi chăc chăn phải gọi thêm rùi nhưng cam thấy xứng_đáng .,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
"nước theo cảm_quan của mình thì có mùi thơm chất nhưng rất lạt , lớp váng sữa không có gì đặc_biệt , có_thể nói là tệ , cái bingsu gì đó ăn khá ổn , còn toast thì mình thấy khá ok , ăn ngon , không quay lại .","['DRINKS#QUALITY', 'FOOD#QUALITY']","[{'DRINKS#QUALITY': 'negative'}, {'FOOD#QUALITY': 'positive'}]"
"tổng . ₫ , mình kêu đường , uống lúc đầu ngọt để khoảng lâu mới uống hạp vị .","['RESTAURANT#PRICES', 'DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'RESTAURANT#PRICES': 'neutral'}, {'DRINKS#QUALITY': 'neutral'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
"cookies là bánh xay nên thơm mùi bánh , ngọt vừa_phải .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"về thức_ăn và giá_cả mình ăn phần ăn nên được ăn khá nhiều các món , khá đa_dạng , món nướng ướp ngon , đậm_đà vừa_phải .","['FOOD#PRICES', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
"do mình chụp ảnh hơi lâu nên bánh vỏ ngoài khô , nhưng nhân trong vẫn nhiều và mềm nhé .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"nước_cốt dừa béo vừa , chè ít ngọt nên ăn ngon lắm nha .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
"phần salad ăn ổn , trộn vị thấm đều , có bánh_mì nướng ăn kèm giòn giòn khá thích .","['FOOD#PRICES', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'negative'}]"
mình rất thích chả cá .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
decor xinh nè .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
giá hơi cao so với các sushi khác nhưng bù lại chất_lượng rất tốt .,"['RESTAURANT#PRICES', 'RESTAURANT#GENERAL']","[{'RESTAURANT#PRICES': 'negative'}, {'RESTAURANT#GENERAL': 'positive'}]"
"không_gian ấm_cúng thích_hợp tụ_họp bạn_bè , gia_đình .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"dìn ký thì có thương_hiệu lâu rồi , menu đủ món á âu , nhiều loại , dễ lựa_chọn , phù_hợp với nhiều đối_tượng .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"nhân_viên lịch_sự , tử_tế .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"mì ngon , nhưng khá chua , có_lẽ là do kim chi , mình nghĩ nên giảm bớt độ chua lại một_chút .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
ở đây đến lần đầu do gần nhà ghé qua thử .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
đây là quán mình đến ăn với số lần nhiều nhất .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
nhân_viên phục_vụ thân_thiện dễ_thương .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
và cho mình thưởng_thức món yêu thích nhất của mính nơi đây_đó chính là bò nướng á nha .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
trà khá thanh không bị đặc vị trà quá .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
thực_sự thì boston vẫn là nhất vẫn là số .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"view đẹp , trang_trí phong_cách dân_dã miền quê .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
thức_ăn nguội .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
"sốt kem nấm nhưng không khác sốt nấm lắm , có mùi béo tí thôi , màu sáng hơn , ngọt nhẹ .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
"hình_thức trình_bày đẹp_mắt , sạch_sẽ .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
nếu bạn đi ăn_người thì chỉ cần gọi suất chả cá và suất lòng cá để thưởng_thức cùng với bún và mắm_tôm .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"cơm hạt săn mà mềm nhé , sốt bbq thì dễ ăn nhất quả đấy rồi , phủ ngập sốt vào sườn luôn .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
nghe bảo popeyes là thương_hiệu của phillip nguyễn_thì phải .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
quán nên chú_ý hỏi xem khách muốn ăn lúc_nào để mang đồ lên cho vừa chứ mang lúc như_vậy để nguội hết .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
mình chỉ hơi không thích rải thẳng vani đậm_đặc lên kem .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'negative'}]
"bình_thường toàn uống alisan vs oloong và aiyu , nên hoom đó quyết_tâm thử món mới xem biết_đâu lại ngon .",['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
phần trang_trí bên trên bánh thì lại khá hào_phóng .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
"giá_cả với chất_lượng là tương_xứng , thêm vat nha .","['RESTAURANT#MISCELLANEOUS', 'RESTAURANT#GENERAL', 'RESTAURANT#PRICES']","[{'RESTAURANT#MISCELLANEOUS': 'neutral'}, {'RESTAURANT#GENERAL': 'positive'}, {'RESTAURANT#PRICES': 'positive'}]"
tầng và tầng ngồi ghế còn tầng ngồi_bệt .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"mới phát_hiện ra quán này siêu đẹp với tông màu trắng công_chúa này , decor các góc và bàn_ghế style châu_âu và tủ đựng ấm , chén siêu xinh luôn .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"quán không có diện_tích nên phải vòng qua đường_hoàng việt gởi xe_hơi bất_tiện nhưng khoản nhân_viên giữ xe lại rất lịch_sự , dễ_thương nên chấp_nhận được .","['RESTAURANT#MISCELLANEOUS', 'SERVICE#GENERAL']","[{'RESTAURANT#MISCELLANEOUS': 'negative'}, {'SERVICE#GENERAL': 'positive'}]"
chương_trình của lotteria hôm đó hình_như combo là mà gồm gà và khoai_tây lắc .,['FOOD#PRICES'],[{'FOOD#PRICES': 'neutral'}]
"toast matcha kem trà xah ngon , bánh ngon , thích nhất cái cục gì xanh_xanh á .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
đồ_ăn thì phải nói quá bình_thường .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
với thịt bò úc thơm ngon vừa dai vừa mềm cộng với phần nướng vừa chính nên mình cảm_thấy ăn rất ngon .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
nhân_viên lễ phéo .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"hẹn giao hàng nhanh_chóng , đúng giờ .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"ngon và tốt cho sức_khoẻ , các bạn nhân_viên tư_vấn nhiệt_tình .","['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'positive'}]"
quán lại chỉ cho tương_ớt ko có tương gà .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
mình gọi top blade với sốt nấm súp bí_đỏ .,"['FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
ngoài_ra còn thử cả socola nóng và latte vị cookies .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
"toast giòn , khá ngon và ngán , phần chắc ng ăn cho đỡ ngán , mà bạn ttai mình ko thích béo nhưng lại thích món này .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"mình kêu trà sữa trân_châu tím , ngon lắm luôn á .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"mình đi ăn_ở đây mấy lần r đều hài_lòng , ăn rất ngon no rẻ .","['RESTAURANT#GENERAL', 'FOOD#QUALITY', 'FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","[{'RESTAURANT#GENERAL': 'positive'}, {'FOOD#QUALITY': 'positive'}, {'FOOD#PRICES': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
"quán vỉa_hè nằm ngay góc nên dễ tìm , không_gian nhỏ .","['LOCATION#GENERAL', 'AMBIENCE#GENERAL']","[{'LOCATION#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'negative'}]"
"nhân_viên cũng nhiệt_tình tư_vấn các bị kem cho tụi mình , cho tụi mình thử vị kem nữa .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"được_cái quán trang_trí cũng bắt_mắt , nhân_viên phục_vụ ok .","['SERVICE#GENERAL', 'AMBIENCE#GENERAL']","[{'SERVICE#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}]"
cho cái bánh to hơn ngón tay tý .,"['FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#PRICES': 'negative'}]"
"mình gọi bánh carrot , sinh_tố banana almond , trà_đào , được tặng thêm bánh chocolate grab .","['RESTAURANT#MISCELLANEOUS', 'FOOD#STYLE&OPTIONS']","[{'RESTAURANT#MISCELLANEOUS': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
"phân_vân chọn mãi , tưởnh phạm ngọc_thạch ngon ai_ngờ ăn chán quá ạ .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'negative'}]
"quán đông nhưng vẫn cố nhận thêm khách nên khả_năng phục_vụ không đảm_bảo phải kê thêm bàn nhưng bàn_ghế , khăn trải nhìn thấy cũ và bẩn , máy_lạnh thì chạy không nổi nên rất nóng .","['RESTAURANT#MISCELLANEOUS', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","[{'RESTAURANT#MISCELLANEOUS': 'negative'}, {'SERVICE#GENERAL': 'negative'}, {'AMBIENCE#GENERAL': 'negative'}]"
nước có đặc_biệt là trà gừng uống khá ngon mùi gần lấn mùi trà nên ai ko uống đc dễ bỏ lắm .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"trà sữa olong king ngon , thơm mùi trà , béo vị sữa .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"mình thích bánh_đa ở đây , có gia_vị chứ không phải lạt lạt như những quán khác , đậm_đà ngon .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
lê_đại hành q .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'neutral'}]
"tổng hoá_đơn hôm ấy khoảng hơn k , tr .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
"nếu nói quay lại thì chắc là không , vì tất_cả .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'negative'}]
mình mua thức uống đặc_biệt vì mình ghiền milk foam của quán .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
không_gian rộng_rãi có lầu .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"bánh_canh ghẹ ở đây có_vẻ khá là nổi_tiếng , dc nhiều ng biết đến .","['RESTAURANT#GENERAL', 'FOOD#QUALITY']","[{'RESTAURANT#GENERAL': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
giá hình_như .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
"lớp kem cheese cũng nhiều , đặc và vị vừa .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'positive'}]"
"mình hay ăn_gỏi trái vả , lần gỏi chua mùi lên_men , tôm nhàu_nát ko tươi .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'negative'}, {'FOOD#STYLE&OPTIONS': 'negative'}]"
mình order tô phở thập_cẩm lớn tiết hột gà .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
được một đĩa ít kinh .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'negative'}]
bữa đó đi ăn ngay thứ nên có chương_trình mua tặng .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"không hiểu do tâm_lí , cách nêm hay cả mà thấy món ăn nó nhàn_nhạt , không đậm_đà như mong_đợi .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
"nước uống cũng ok , không dở nhưng không có gì đặc_biệt .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'neutral'}]
các set ở đây đc trình_bày đẹp và ăn cũng khá là tươi nữa .,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"nước dùng rất ngon nhé , trong và ngọt xương .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"khoai_tây chiên giòn , cắt miếng dài , vừa ăn .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"quán đẹp , nhân_viên thân_thiện , đồ_ăn ngon .","['FOOD#QUALITY', 'SERVICE#GENERAL', 'AMBIENCE#GENERAL']","[{'FOOD#QUALITY': 'positive'}, {'SERVICE#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}]"
"bún thịt nướng cũng khá ngon nhé , thịt được nướng sẵn nên không thơm và nóng .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"nhân_viên ở đây cũng dễ_thương , thân_thiện lắm .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
mua tặng khi mua kèm nước ai tiết_kiệm có_thể mua nước suối rẻ hơn nha .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"về chất_lượng đồ_ăn thì combo gồm như trong ảnh , cơm_rang cùng sườn phủ phô_mai , pizza size s hay size mini gì đấy mình k rõ nữa , bánh_mì bơ tỏi , salad , hành vòng , khoai_tây và miếng gà .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
hồng trà thơm ngọt thanh vừa đủ mặc_dù không giảm đường đá gi .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
món bánh_trôi nóng thơm mè và ấm bụng lắm nhé .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
điển_hình như bò mỹ hôm đó ăn k thấy ngon .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
mà giá rẻ hơn rất nhìu so vs kichi kichi hihi .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'positive'}]
"được nhất_là quả cơm sườn sốt bbq kia kìa , à há nó ngon hơn mong_đợi nhiều nhiều .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"đang thèm ăn toast , thấy quán này bán đủ loại nên quyết_định ra đây test .",['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
